,id,input_field,output_field,style
0,VAL-1,RPC 及 HA 服务中，verbose 参数的设置有几个级别？,三个级别（0，1，2）。,（回答风格：简洁明了，直接提供答案，不加多余描述。）
1,VAL-2,在磁盘IO监控的配置中，当哪个值大于10000时会触发危急颜色模式？,value大于10000时。,（回答风格：直接描述触发条件，仅回答所问内容，未作任何解释。）
2,VAL-3,`FieldData` 类中的函数 `IsReal()` 是用来查询什么类型的数据？,`IsReal()` 用来查询是否是 `FLOAT` 或 `DOUBLE` 类型的数据。,（回答风格：专业明确，简洁地解释了函数用途，直接指出数据类型。）
3,VAL-4,如果成功修改一个用户的描述，应返回什么状态码？  ,200,（回答风格：技术精准，直接提供状态码，无解释或背景说明。）
4,VAL-5,边关联的两个点的字段，一定是点的主键吗？,是的,（回答风格：简洁明了，肯定回答，无额外信息。）
5,VAL-6,OutEdgeIterator 类的 Delete 方法执行什么操作？,Deletes current edge. The iterator will point to the next out edge if there is any.,（回答风格：简洁描述功能，用英文说明，直接表述操作结果。）
6,VAL-7,TuGraph-DB的日志等级如何调整？,"单机模式下，调整配置文件src/server/lgraph_standalone.json，其中verbose配置项控制日志等级，verbose可以设置为0,1,2，对应日志等级可以参考src/server/lgraph_server.cpp中115行至128行。",（回答风格：结构化且明确，提供了操作步骤和具体路径，信息完整但不冗长。）
7,VAL-8,机器性能指标中的“memory”是什么？,“memory”是内存，是用于监控服务性能的重要指标之一。,（回答风格：定义型回答，简洁解释了概念及其用途。）
8,VAL-9,如果不选择清空画布数据按钮，导入的数据会如何处理？,每次执行查询的结果会追加至画布区域。,（回答风格：简洁描述行为结果，直接回答预期效果。）
9,VAL-10,如何通过邮件提出关于TuGraph产品的建议？,邮件地址为tugraph@service.alipay.com。,（回答风格：直接提供联系信息，简洁且无解释。）
10,VAL-11,边索引支持查询加速么？,暂不支持,（回答风格：简洁明了，直接否定，无额外说明。）
